Sample Nr	Sample ID	R.FileName
130	XCHEJF_132	XCHEJF1-254_20250729_plasma_S132_250ng_41p5min_DIA_r1.raw
131	XCHEJF_133	XCHEJF1-254_20250729_plasma_S133_250ng_41p5min_DIA_r1.raw
132	XCHEJF_134	XCHEJF1-254_20250729_plasma_S134_250ng_41p5min_DIA_r1.raw
133	XCHEJF_135	XCHEJF1-254_20250729_plasma_S135_250ng_41p5min_DIA_r1.raw
134	XCHEJF_136	XCHEJF1-254_20250729_plasma_S136_250ng_41p5min_DIA_r1.raw
135	XCHEJF_137	XCHEJF1-254_20250729_plasma_S137_250ng_41p5min_DIA_r1.raw
136	XCHEJF_138	XCHEJF1-254_20250729_plasma_S138_250ng_41p5min_DIA_r1.raw
137	XCHEJF_139	XCHEJF1-254_20250729_plasma_S139_250ng_41p5min_DIA_r1.raw
138	XCHEJF_140	XCHEJF1-254_20250729_plasma_S140_250ng_41p5min_DIA_r1.raw
139	XCHEJF_141	XCHEJF1-254_20250729_plasma_S141_250ng_41p5min_DIA_r1.raw
140	XCHEJF_142	XCHEJF1-254_20250729_plasma_S142_250ng_41p5min_DIA_r1.raw
141	XCHEJF_143	XCHEJF1-254_20250729_plasma_S143_250ng_41p5min_DIA_r1.raw
142	XCHEJF_144	XCHEJF1-254_20250729_plasma_S144_250ng_41p5min_DIA_r1.raw
143	XCHEJF_145	XCHEJF1-254_20250729_plasma_S145_250ng_41p5min_DIA_r1.raw
144	XCHEJF_146	XCHEJF1-254_20250729_plasma_S146_250ng_41p5min_DIA_r1.raw
145	XCHEJF_147	XCHEJF1-254_20250729_plasma_S147_250ng_41p5min_DIA_r1.raw
146	XCHEJF_148	XCHEJF1-254_20250729_plasma_S148_250ng_41p5min_DIA_r1.raw
147	XCHEJF_149	XCHEJF1-254_20250729_plasma_S149_250ng_41p5min_DIA_r1.raw
148	XCHEJF_150	XCHEJF1-254_20250729_plasma_S150_250ng_41p5min_DIA_r1.raw
149	XCHEJF_151	XCHEJF1-254_20250729_plasma_S151_250ng_41p5min_DIA_r1.raw
150	XCHEJF_152	XCHEJF1-254_20250729_plasma_S152_250ng_41p5min_DIA_r1.raw
151	XCHEJF_153	XCHEJF1-254_20250729_plasma_S153_250ng_41p5min_DIA_r1.raw
152	XCHEJF_154	XCHEJF1-254_20250729_plasma_S154_250ng_41p5min_DIA_r1.raw
