Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Detection Of Mechanical Stimulus (GO:0050982),-0.9954864593781344,-4.670621911592226,0.03472931562819203,1.0,1.0,1/5,0.55%,PIEZO2
prerank,Regulation Of Response To External Stimulus (GO:0032101),-0.9959514170040488,-4.57371340516124,0.09859154929577464,1.0,1.0,1/23,0.50%,SELE
prerank,"Regulation Of mRNA Splicing, Via Spliceosome (GO:0048024)",-0.7732062217762167,-4.501746244236195,0.03360488798370672,1.0,1.0,6/6,100.00%,PRDX6;HNRNPK;HNRNPU;RBMX;RBM8A;NCL
prerank,Receptor-Mediated Endocytosis (GO:0006898),-0.9944134078212288,-4.324409578097711,0.1350164654226125,1.0,1.0,1/30,0.65%,DPP4
prerank,Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules (GO:0007156),-0.9939148073022313,-4.193483281422545,0.15494505494505495,1.0,1.0,1/27,0.70%,CADM1
prerank,Response To Cytokine (GO:0034097),-0.9959390862944164,-4.12331900539744,0.11269146608315099,1.0,1.0,1/29,0.50%,SELE
prerank,Positive Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050731),-0.9928825622775801,-3.917371333412295,0.20670391061452514,1.0,1.0,1/32,0.80%,CSPG4
prerank,Phosphorylation (GO:0016310),-0.99644128113879,-3.858516822549346,0.10690423162583519,1.0,1.0,1/32,0.45%,DGKD
prerank,Regulation Of Endopeptidase Activity (GO:0052548),-0.9999999999999999,-3.845477933850326,0.007990867579908675,1.0,1.0,1/36,0.10%,SERPINA1
prerank,Negative Regulation Of Intracellular Signal Transduction (GO:1902532),-0.9964448958862369,-3.7799768479410805,0.11148272017837235,1.0,1.0,1/30,0.45%,DGKD
prerank,Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050730),-0.9928825622775801,-3.777233877505376,0.21793416572077184,1.0,1.0,1/32,0.80%,CSPG4
prerank,Cholesterol Biosynthetic Process (GO:0006695),-0.731058705469142,-3.763609794649704,0.053388090349075976,1.0,1.0,6/6,100.00%,LBR;ACLY;G6PD;HMGCS1;CES1;PMVK
prerank,Secondary Alcohol Biosynthetic Process (GO:1902653),-0.731058705469142,-3.763609794649704,0.053388090349075976,1.0,1.0,6/6,100.00%,LBR;ACLY;G6PD;HMGCS1;CES1;PMVK
prerank,Sterol Biosynthetic Process (GO:0016126),-0.731058705469142,-3.763609794649704,0.053388090349075976,1.0,1.0,6/6,100.00%,LBR;ACLY;G6PD;HMGCS1;CES1;PMVK
prerank,Negative Regulation Of Endopeptidase Activity (GO:0010951),-1.0,-3.7589853199454595,0.0068415051311288486,1.0,1.0,1/36,0.10%,SERPINA1
prerank,Negative Regulation Of Peptidase Activity (GO:0010466),-1.0,-3.7419722885308926,0.003416856492027335,1.0,1.0,1/38,0.10%,SERPINA1
prerank,Positive Regulation Of Interleukin-10 Production (GO:0032733),-0.7171514543630892,-3.5160269638189563,0.04679552390640895,1.0,1.0,5/5,100.00%,HSPD1;F2RL1;HMGB1;PIBF1;PRKCZ
prerank,Protein Localization (GO:0008104),-0.9989816700610996,-3.4183926799714746,0.042458100558659215,1.0,1.0,1/35,0.20%,CROCC
prerank,Regulation Of Interleukin-10 Production (GO:0032653),-0.5831240582621798,-3.4059188618682,0.07062436028659161,1.0,1.0,8/8,100.00%,HSPD1;F2RL1;HMGB1;PDCD1LG2;PIBF1;PRKCZ;MMP8;HLA-DRB1
prerank,Inflammatory Response (GO:0006954),-0.9959183673469388,-3.3927404296954027,0.12942477876106195,1.0,1.0,1/39,0.50%,SELE
prerank,Protein Neddylation (GO:0045116),-0.6865596790371113,-3.299654082201971,0.051440329218107,1.0,1.0,5/5,100.00%,COPS4;COPS2;GPS1;COPS5;COPS6
prerank,Regulation Of Interleukin-12 Production (GO:0032655),-0.552433517310587,-3.25211340346299,0.049079754601226995,1.0,1.0,6/6,100.00%,HSPD1;HMGB1;PIBF1;MAPK14;THBS1;HLA-B
prerank,Regulation Of Macrophage Activation (GO:0043030),-0.6308926780341023,-3.157922424161939,0.04679552390640895,1.0,1.0,5/5,100.00%,HSPD1;BPI;CD84;THBS1;MMP8
prerank,Regulation Of Inflammatory Response (GO:0050727),-0.9959100204498978,-3.1506265453021185,0.14102564102564102,1.0,1.0,1/43,0.50%,SELE
prerank,Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742),-0.9943502824858756,-2.948742423851706,0.21212121212121213,1.0,1.0,2/52,0.70%,SELE;CADM1
prerank,Positive Regulation Of Type I Interferon Production (GO:0032481),-0.5511534603811434,-2.911425938723792,0.047522750252780584,1.0,1.0,5/5,100.00%,HSPD1;NMBR;GAPDH;HSP90AA1;CD14
prerank,Organophosphate Ester Transport (GO:0015748),-0.5213246362267937,-2.838900917764396,0.05725971370143149,1.0,1.0,6/6,100.00%,PITPNB;MTTP;NPC2;LDLR;PLTP;PITPNA
prerank,Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901990),-0.46934673366834173,-2.8047067978249407,0.07597535934291581,1.0,1.0,9/9,100.00%,ZW10;DDB1;APLP2;PSME1;PHF10;KNTC1;PSME2;PTPN6;CENPE
